A3_BLU        ArmA3 NATO (WEST)
A3_OPF        ArmA3 CSAT (EAST)
A3_IND        ArmA3 AAF (INDEP)
A3_BLU_PAC    ArmA3 NATO Pacific (WEST)
A3_OPF_PAC    ArmA3 CSAT Pacific (EAST)
A3_OPF_UB    ArmA3 CSAT Urban (EAST)
CP_TACUP     Takistan (EAST)
CP_BAF_DES    CUP BAF Desert (WEST)
CP_USMC_W    CUP USMC Woodland (WEST)
CP_USMC_D    CUP USMC Desert (WEST)
CP_AFRF        CUP AFRF Modern MSV (EAST)
CP_SAHRA_D    CUP Royal Army Corps (INDEP)
CP_BW_W        CUP NATO (US,BAF,BW (WEST)
CP_ION_WI    CUP ION PMC Winter (INDEP)
CFP_IQARMY     CFP Iraqi Army
CFP_NKARMY     CFP North Korea
EJW_TFEJW     Task Force (WEST)
EJW_TAEJW     Taliban (EAST)
R3F_WEST_D    R3F WEST Desert (WEST)
R3F_WEST_W    R3F WEST Woodland (WEST)
RHS_USAF    RHS US Armed Force (WEST)
RHS_RACS    RHS RACS (Royal Army Corps Sahrani) (INDEP)
RHS_SLA        RHS SLA (Sahrani Liberation Army) (EAST)
UFP_BLU        RHS UFP (Ukrainian Factions Project) (WEST)
RHS_AFRF    RHS AF Russian Fed. (EAST)
FFAA_SPAIN_W    FFAA SPAIN Woodland (WEST)
GM_WEST         Global Mob. WEST
GM_WEST_WINT    Global Mob. WEST Winter
GM_EAST         Global Mob. EAST
GM_EAST_WINT    Global Mob. EAST Winter
OPTRE       Operation Trebuchet
WS_UNA        West Sahara UNA (?)
WS_FIA        West Sahara FIA (EAST)
SOG_USA        SoG Prairie Fire USA (WEST)
SOG_VIETCONG    SoG Prairie Fire VIETCONG (EAST)
PO_UAF        Project Opfor Ukrainian Army (INDEP)
PO_TA        Project Opfor Takistani Army (EAST)
PO_SA        Project Opfor Sahrani Army (EAST)
3CB_BAF_W    3CB British Army Woodland (WEST)
3CB_BAF_D    3CB British Army Desert (WEST)
3CB_ChDKZ    3CB Chernarussian Red Star (EAST)
3CB_ION_IND    3CB ION Services - Urban (INDEP)
3CB_LDF_OPF    3CB Livonia Defence Force (EAST)
3CB_MDF_OPF    3CB Malden Defence Force (EAST)
3CB_TNA_OPF    3CB Takistan National Army (EAST)
BW_MOD        Bundenswehr Tropentarn (WEST)
CWR3_USA    Cold War Rearmed USA (WEST)
CWR3_BAF    Cold War Rearmed III - BAF (WEST)
CWR3_SOV    Cold War Rearmed SOVIET (EAST)
UNS_US        Unsung USA (WEST)
UNS_NVA        Unsung NVA (EAST)
SPE_US        SPE - USA (WEST)
SPE_GER        SPE - GER (EAST)
IFA_WEHRM    IFA Wehrmacht (WEST)
IFA_REDARMY    IFA Red Army (EAST)
IFA_USARMY    IFA US Army (INDEP)
IFA_REDARMY_W    IFA Red Army Winter (EAST)
IFA_WEHRM_W    IFA Wehrmacht Winter (WEST)
UFP_BLU        Ukraine Forces (RHS) (WEST)
